baryon_density,energy_densityc2,pressurec2
1.664841e+15,2.238721e+15,1.135974e+15
1.794637e+15,2.511886e+15,1.423633e+15
1.929090e+15,2.818383e+15,1.766878e+15
2.068113e+15,3.162278e+15,2.172659e+15
2.211681e+15,3.548134e+15,2.648369e+15
2.359828e+15,3.981072e+15,3.201961e+15
2.512643e+15,4.466836e+15,3.842128e+15
2.670262e+15,5.011872e+15,4.578532e+15
2.832861e+15,5.623413e+15,5.422100e+15
3.000646e+15,6.309573e+15,6.385366e+15
3.173845e+15,7.079458e+15,7.482875e+15
3.352700e+15,7.943282e+15,8.731637e+15
3.537463e+15,8.912509e+15,1.015163e+16
3.728391e+15,1.000000e+16,1.176638e+16
3.925742e+15,1.122018e+16,1.360361e+16
4.129771e+15,1.258925e+16,1.569596e+16
4.340735e+15,1.412538e+16,1.808185e+16
4.558885e+15,1.584893e+16,2.080641e+16
4.784473e+15,1.778279e+16,2.392266e+16
5.017746e+15,1.995262e+16,2.749279e+16
5.258957e+15,2.238721e+16,3.158969e+16
5.508354e+15,2.511886e+16,3.629877e+16
5.766194e+15,2.818383e+16,4.172008e+16
